id,category,type,tp,fp,fn,precision,recall,f1,exact_match,n_ground_truth,n_pred,prompt,timestamp,latency_s,prompt_tokens,completion_tokens,total_tokens,source,error_notes
15,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapakan NIM dari Zulhaqi,2025-05-27T19:57:51.099290,1.82,2976,197,3173,txt_source,
16,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Munculkan jadwal dari dosen Irfan,2025-05-27T19:57:58.885443,2.609,895,201,1096,txt_source,
17,K-1,schedule_rows,1,0,1,1.0,0.5,0.6666666666666666,0,2,1,Di mana seminar Rizky dilaksanakan,2025-05-27T19:58:04.745363,1.68,893,206,1099,txt_source,
18,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pada pukul berapa seminar Rizal Sihombing dimulai,2025-05-27T19:58:11.543499,1.752,896,204,1100,txt_source,
19,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rizky Renaldi,2025-05-27T19:58:19.243274,2.625,895,208,1103,txt_source,
20,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Muhammad Rizky Pratama Solahudin,2025-05-27T19:58:25.933760,1.614,900,201,1101,txt_source,
21,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Rizky Renaldi Cahya Febrian,2025-05-27T19:58:32.969752,1.891,899,208,1107,txt_source,
22,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Rizal Sihombing berakhir,2025-05-27T19:58:40.877537,2.82,895,202,1097,txt_source,
23,K-1,schedule_rows,1,0,1,1.0,0.5,0.6666666666666666,0,2,1,Jam berapa seminar Rizky dimulai,2025-05-27T19:58:47.824266,1.681,893,208,1101,txt_source,
24,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa seminar akan dilaksanakan oleh Rizky Pratama Solahudin,2025-05-27T19:58:54.674325,2.723,900,201,1101,txt_source,
25,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa Dosen yang ada diseminar Rizky Renaldi,2025-05-27T19:59:00.143483,0.961,657,67,724,txt_source,
26,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan seminar dari Muhammad Rizky,2025-05-27T19:59:06.936520,1.65,895,201,1096,txt_source,
27,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tampilkan jadwal Bapak Taryana,2025-05-27T19:59:15.364136,2.347,1704,328,2032,txt_source,
28,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Dimana ruang seminarnya Hafid,2025-05-27T19:59:22.108014,2.084,1705,213,1918,txt_source,
29,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa atas nama Simatupang,2025-05-27T19:59:29.250513,2.884,1710,201,1911,txt_source,
30,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tanggal berapa Bu Gentisya seminar,2025-05-27T19:59:39.149723,4.43,1706,383,2089,txt_source,
31,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Hari apa saja Pak Dedeng seminar,2025-05-27T19:59:48.442187,3.2,1705,345,2050,txt_source,
32,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja mahasiswa yang seminar dengan Pak Galih,2025-05-27T19:59:58.132806,3.576,1708,372,2080,txt_source,
33,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Dimas,2025-05-27T20:00:05.359594,1.891,1705,200,1905,txt_source,
34,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa saja dosen yang seminar bersama Pak Chrismikha,2025-05-27T20:00:11.172807,1.134,1467,81,1548,txt_source,
35,K-1,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Sebutkan mahasiswa yang diuji oleh Pak Eko Budi,2025-05-27T20:00:24.575922,5.176,3112,665,3777,txt_source,
36,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Sebutkan NIM mahasiswa yang diuji oleh Bu Anna Dara,2025-05-27T20:00:38.442613,5.665,3111,912,4023,txt_source,
37,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tampilkan jadwal seminar dari mahasiswa Muhammad Irsyad,2025-05-27T20:00:44.743791,1.834,3109,194,3303,txt_source,
38,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan judul skripsi dari mahasiwa Mochamad Yusuf,2025-05-27T20:00:54.273200,2.919,3112,215,3327,txt_source,
39,K-1,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,Di ruang mana seminar dengan Bu Anna Dara,2025-05-27T20:01:07.169638,5.275,3107,912,4019,txt_source,
40,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Sacofi dilaksanakan,2025-05-27T20:01:15.492948,2.746,3106,210,3316,txt_source,
41,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa nama mahasiswa dengan NIM 10118058,2025-05-27T20:01:22.431693,2.688,1121,214,1335,txt_source,
42,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa dengan NIM 10118039,2025-05-27T20:01:30.808545,2.699,1123,214,1337,txt_source,
43,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana seminar NIM 10119192 berlangsung,2025-05-27T20:01:38.847909,2.635,1121,206,1327,txt_source,
44,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa seminar NIM 10117172 selesai,2025-05-27T20:01:46.816863,2.65,1121,214,1335,txt_source,
45,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Kapan tanggal seminar mahasiswa NIM 10118346,2025-05-27T20:01:54.777535,2.864,1121,203,1324,txt_source,
46,K-2,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa penguji seminar dari mahasiswa NIM 10119913,2025-05-27T20:01:59.992860,1.904,565,63,628,txt_source,
47,K-2,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa mahasiswa dengan NIM 10120901 seminar,2025-05-27T20:02:07.941915,2.595,806,202,1008,txt_source,
48,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 27 Mei 2024, mulai 09.15",2025-05-27T20:02:16.324061,2.95,2491,209,2700,txt_source,
49,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6028, 27 Mei 2024, selesai 10.30",2025-05-27T20:02:22.791951,1.817,2491,205,2696,txt_source,
50,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6028, 29 Mei 2024, jam 8",2025-05-27T20:02:31.138416,2.869,2487,217,2704,txt_source,
51,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 29 Mei 2024, selesai 10.30",2025-05-27T20:02:38.844326,2.148,2491,206,2697,txt_source,
52,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di R6010, 02 Jan 2024, mulai 09.15",2025-05-27T20:02:47.403760,2.82,3125,209,3334,txt_source,
53,K-3,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Jadwal di 6010, 02 Januari 2024, mulai 10:30",2025-05-27T20:02:55.758608,2.789,3125,199,3324,txt_source,
54,K-3,schedule_rows,0,0,1,0.0,0.0,0.0,0,1,0,"Jadwal di 6028, 3 Januari 2024, selesai 09:15",2025-05-27T20:03:03.176165,2.018,3124,25,3149,txt_source,
55,K-3,schedule_rows,1,2,0,0.3333333333333333,1.0,0.5,0,1,3,"Jadwal di 6010, 03 Januari 2024, selesai pukul 13",2025-05-27T20:03:13.697697,4.48,3123,546,3669,txt_source,
56,K-4,schedule_rows,2,1,0,0.6666666666666666,1.0,0.8,0,2,3,NIM mahasiswa yang diuji Chrismikha pada 21 Juni 2024,2025-05-27T20:03:25.232512,4.73,5118,575,5693,txt_source,
57,K-4,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Semua mahasiswa di ruang R6010 tanggal 21 Juni 2024,2025-05-27T20:03:38.594952,5.578,5118,743,5861,txt_source,
58,K-4,schedule_rows,4,0,0,1.0,1.0,1.0,1,4,4,Mahasiswa di ruang R6010 tanggal 2 Jan 2024,2025-05-27T20:03:52.887337,5.804,3117,721,3838,txt_source,
59,K-4,schedule_rows,1,0,1,1.0,0.5,0.6666666666666666,0,2,1,NIM mahasiswa seminar selesai pukul 09.15 tanggal 3 Jan 2024,2025-05-27T20:04:01.999534,2.612,3119,193,3312,txt_source,
60,K-4,schedule_rows,3,2,0,0.6,1.0,0.7499999999999999,0,3,5,Mahasiswa yang diuji Anna tanggal 4 Jan 2024.,2025-05-27T20:04:15.528616,5.752,3115,912,4027,txt_source,
61,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Semua mahasiswa seminar di R6028 hari Sabtu,2025-05-27T20:04:26.480929,4.255,6718,373,7091,txt_source,
62,K-4,schedule_rows,2,2,0,0.5,1.0,0.6666666666666666,0,2,4,Mahasiswa yang diuji Bu Sufaatin jam 09:15,2025-05-27T20:04:40.006305,5.829,6723,713,7436,txt_source,
63,K-4,lecturer_list,4,2,1,0.6666666666666666,0.8,0.7272727272727272,0,5,6,Semua dosen yang menguji di ruang R6010 tanggal 28 Juni 2024,2025-05-27T20:04:50.640232,6.932,6486,128,6614,txt_source,
64,K-4,schedule_rows,5,0,0,1.0,1.0,1.0,1,5,5,NIM mahasiswa yang seminar di R6028 tanggal 27 Juni 2024,2025-05-27T20:05:06.060536,6.533,6727,917,7644,txt_source,
65,K-4,schedule_rows,12,0,0,1.0,1.0,1.0,1,12,12,Nama mahasiswa yang seminar pada tanggal 26 Jun 2024,2025-05-27T20:05:34.660562,12.716,6722,2163,8885,txt_source,
66,K-4,lecturer_list,4,0,0,1.0,1.0,1.0,1,4,4,Semua dosen yang menguji di hari Kamis ruang R6010,2025-05-27T20:05:42.329364,2.353,2870,93,2963,txt_source,
67,K-4,schedule_rows,0,0,2,0.0,0.0,0.0,0,2,0,Mahasiswa yang diuji oleh Bu Dian tanggal 5 Januari 2024,2025-05-27T20:05:50.445659,2.063,3116,25,3141,txt_source,
68,K-4,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,NIM mahasiswa yang seminar di R6010 hari Jumat,2025-05-27T20:06:01.247035,4.604,3111,563,3674,txt_source,
69,K-4,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,"Semua mahasiswa yang seminar di R6028, tanggal 4 Januari 2024",2025-05-27T20:06:11.388415,3.808,3119,384,3503,txt_source,
70,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa seminar di R6010 tanggal 2 Jan 2024,2025-05-27T20:06:21.107806,2.836,2819,33,2852,txt_source,
71,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Jumlah jadwal di R6028 tanggal 3 Jan 2024,2025-05-27T20:06:28.128332,2.047,2818,33,2851,txt_source,
72,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Total seminar mulai 09.15 tanggal 28 Juni 2024,2025-05-27T20:06:35.801512,2.119,6428,33,6461,txt_source,
73,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Banyak seminar di 6028 tanggal 26 Juni 2024,2025-05-27T20:06:44.070383,2.417,6427,33,6460,txt_source,
74,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Jumlah seminar berakhir 10.30 tanggal 24 Juni 2024,2025-05-27T20:06:52.127650,2.403,6428,33,6461,txt_source,
75,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Berapa jumlah dosen yang seminar tanggal 4 Jan,2025-05-27T20:06:58.115482,1.987,2811,33,2844,txt_source,
76,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Berapa banyak mahasiswa yang seminar hari Rabu,2025-05-27T20:07:03.979670,0.931,2809,33,2842,txt_source,
77,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Total seminar berakhir jam 11.45  tanggal 1 Juli 2024,2025-05-27T20:07:10.277055,2.187,5000,33,5033,txt_source,
78,K-5,aggregation,1,0,0,1.0,1.0,1.0,1,1,1,Jumlah jadwal di R6028 tanggal 2 Juli 2024,2025-05-27T20:07:17.342318,2.134,4997,33,5030,txt_source,
79,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Banyak seminar Bu Nelly hari Selasa,2025-05-27T20:07:23.502268,1.107,4986,33,5019,txt_source,
80,K-5,aggregation,0,1,1,0.0,0.0,0.0,0,1,1,Jumlah mahasiswa yang seminar di R6010 tanggal 4 Juli 2024,2025-05-27T20:07:29.634576,2.212,4999,33,5032,txt_source,
81,K-6,schedule_rows,1,1,0,0.5,1.0,0.6666666666666666,0,1,2,"Siapa saja mahasiswa dengan seminar paling pagi pada tanggal 1 Juli 2024? Jika ada lebih dari 1 orang, ambil yang nim nya paling kecil.",2025-05-27T20:07:39.210354,3.989,5312,390,5702,txt_source,
82,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling akhir pada  4 Juli 2024,2025-05-27T20:07:47.148141,3.003,5294,194,5488,txt_source,
83,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,Mahasiswa mana yang memiliki judul skripsi terpanjang pada 5 Juli 2024,2025-05-27T20:07:55.111086,3.167,5298,212,5510,txt_source,
84,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,"Di antara seminar tanggal 4 Juli 2024, siapa mahasiswa dengan NIM terkecil",2025-05-27T20:08:02.666754,2.419,5298,205,5503,txt_source,
85,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,"Untuk seminar tanggal 3 Juli 2024, judul mana yang muncul pertama secara alfabetis dan milik mahasiswa siapa",2025-05-27T20:08:10.320661,2.131,5302,194,5496,txt_source,
86,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa saja mahasiswa dengan seminar paling akhir pada tanggal 8 Juli 2024? Jika ada lebih dari 1 orang, ambil yang nim nya paling kecil",2025-05-27T20:08:17.404071,2.708,1500,206,1706,txt_source,
87,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling awal pada hari Senin? Jika lebih dari 1 orang ambil nim yang paling besar,2025-05-27T20:08:23.578692,1.879,1489,215,1704,txt_source,
88,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,Mahasiswa mana yang memiliki judul skripsi paling singkat pada  tanggal 10 Juli 2024,2025-05-27T20:08:32.147043,2.99,1489,191,1680,txt_source,
89,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Di antara seminar tanggal 9 Juli 2024, siapa mahasiswa dengan NIM terkecil",2025-05-27T20:08:38.207318,1.79,1487,215,1702,txt_source,
90,K-6,schedule_rows,0,1,1,0.0,0.0,0.0,0,1,1,"Untuk seminar tanggal 8 Juli 2024, judul mana yang muncul pertama secara alfabetis dan milik mahasiswa siapa",2025-05-27T20:08:45.360579,2.924,1491,215,1706,txt_source,
91,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan seminar paling terakhir pada hari Senin,2025-05-27T20:08:53.432846,2.757,897,202,1099,txt_source,
92,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan NIM terkecil yang seminar di ruang  6010 pada 11 Desember 2023,2025-05-27T20:09:01.393355,2.631,914,201,1115,txt_source,
93,K-6,lecturer_list,2,1,0,0.6666666666666666,1.0,0.8,0,2,3,Siapa saja dosen yang menguji terbanyak pada tanggal 5 Januari 2024 jika lebih dari satu tampilkan sesuai urutan alphabet,2025-05-27T20:09:06.798150,1.412,2885,80,2965,txt_source,
94,K-4,lecturer_list,4,0,2,1.0,0.6666666666666666,0.8,0,6,4,Urutkan berdasarkan alphabet nama dosen yang seminar di hari Jumat,2025-05-27T20:09:12.903105,1.34,2868,97,2965,txt_source,
95,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Pada seminar tanggal 2 Januari 2024, siapakah mahasiswa yang memiliki NIM terbesar",2025-05-27T20:09:19.392396,1.785,3118,211,3329,txt_source,
96,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Siapa mahasiswa dengan NIM terkecil yang seminar di ruang R6010 pada hari Selasa,2025-05-27T20:09:26.774785,2.817,3119,209,3328,txt_source,
97,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Siapa mahasiswa dengan seminar paling pagi di ruang R6028 pada tanggal 3 Januari 2024? Jika lebih dari satu, ambil NIM terkecil.",2025-05-27T20:09:34.139148,1.94,3135,211,3346,txt_source,
98,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan NIM mahasiswa terkecil yang seminar di Ruang 6010 pada tanggal 3 Januari 2024,2025-05-27T20:09:41.610993,1.974,3127,195,3322,txt_source,
99,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,"Sebutkan NIM mahasiswa yang seminar di hari Sabtu, jika lebih dari satu tampilkan NIM yang terbesar",2025-05-27T20:09:49.784953,2.743,3119,196,3315,txt_source,
100,K-6,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Mahasiswa yang memiliki judul skripsi paling panjang pada tanggal 6 Januari 2024,2025-05-27T20:09:56.585885,1.879,3118,212,3330,txt_source,
101,K-1,schedule_rows,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692,0,7,6,Tampilkan jadwal sidang Pak Andri,2025-05-27T20:10:15.531604,6.952,5248,1182,6430,txt_source,
102,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana sidang Ikhsan dilaksanakan,2025-05-27T20:10:24.283413,2.941,5250,214,5464,txt_source,
103,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa sidang Muhammad Rifqu dimulai,2025-05-27T20:10:32.714305,2.049,5250,217,5467,txt_source,
104,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Fermi Naufal Akbar,2025-05-27T20:10:40.082048,2.303,5251,213,5464,txt_source,
105,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Tri Novarel Rahmadhani,2025-05-27T20:10:47.283153,2.074,5253,210,5463,txt_source,
106,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa sidang  Muh Nur I,2025-05-27T20:10:54.688973,2.22,5250,220,5470,txt_source,
107,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Ferdi berakhir,2025-05-27T20:11:02.607797,2.16,5248,209,5457,txt_source,
108,K-1,schedule_rows,4,1,0,0.8,1.0,0.888888888888889,0,4,5,Tampilkan jadwal Ir.Taryana Suryana,2025-05-27T20:11:16.069108,5.626,5251,968,6219,txt_source,
109,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang  Miftah dimulai,2025-05-27T20:11:24.352766,2.271,5250,211,5461,txt_source,
110,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa sidang  Faishal akan dilaksanakan,2025-05-27T20:11:33.579366,3.201,5251,210,5461,txt_source,
111,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan sidang dari Toni Rizky Awalludin dimulai,2025-05-27T20:11:42.248195,3.38,5254,219,5473,txt_source,
112,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa Dosen yang ada disidang Naufal Hafizh,2025-05-27T20:11:48.742915,1.424,4999,76,5075,txt_source,
113,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rikrik,2025-05-27T20:11:57.071809,3.303,5248,211,5459,txt_source,
114,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan ruangan tempat sidang Diva Sabila Ramadhan,2025-05-27T20:12:03.816483,2.03,5253,200,5453,txt_source,
115,K-1,schedule_rows,0,0,1,0.0,0.0,0.0,0,1,0,Berapakan NIM dari Angga,2025-05-27T20:12:09.855025,2.19,5249,25,5274,txt_source,
116,K-1,schedule_rows,3,4,0,0.42857142857142855,1.0,0.6,0,3,7,Munculkan jadwal dari Bapak Irawan,2025-05-27T20:12:27.279750,7.578,5251,1208,6459,txt_source,
117,K-1,schedule_rows,0,0,1,0.0,0.0,0.0,0,1,0,Di mana sidang mahasiswa bernama Alif dilaksanakan,2025-05-27T20:12:34.423139,2.237,5250,25,5275,txt_source,
118,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pada pukul berapa sidang Dedus Lihoko dimulai,2025-05-27T20:12:43.603958,3.278,5252,222,5474,txt_source,
119,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Rizky Septiana,2025-05-27T20:12:51.052889,2.348,5250,225,5475,txt_source,
120,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Dicky,2025-05-27T20:12:57.569027,2.296,5249,222,5471,txt_source,
121,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa sidang Weldira Tarigan,2025-05-27T20:13:06.572141,3.011,5250,194,5444,txt_source,
122,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Rendy Dermawan berakhir,2025-05-27T20:13:14.961159,3.211,5251,214,5465,txt_source,
123,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa sidang Reichan dimulai,2025-05-27T20:13:24.446312,3.233,5248,216,5464,txt_source,
124,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa sidang akan dilaksanakan oleh Ferdy Mohamad Firdaus,2025-05-27T20:13:33.790590,2.713,5255,215,5470,txt_source,
125,K-1,lecturer_list,3,0,0,1.0,1.0,1.0,1,3,3,Siapa Dosen yang ada di sidang Dewi Mahiranie,2025-05-27T20:13:39.440033,1.222,4997,77,5074,txt_source,
126,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan sidang dari Adam,2025-05-27T20:13:47.128422,2.211,5248,226,5474,txt_source,
127,K-1,schedule_rows,3,1,0,0.75,1.0,0.8571428571428571,0,3,4,Tampilkan jadwal sidang Bu Rani,2025-05-27T20:14:00.887464,5.924,4265,812,5077,txt_source,
128,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Dimana ruang sidang Rizky Renaldi Cahya Febrian,2025-05-27T20:14:09.601158,3.036,4271,222,4493,txt_source,
129,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi dari mahasiswa atas nama Dita,2025-05-27T20:14:16.472913,1.984,4269,222,4491,txt_source,
130,K-1,schedule_rows,0,1,3,0.0,0.0,0.0,0,3,1,Tanggal berapa Pak Dwi sidang,2025-05-27T20:14:25.503982,3.021,4266,221,4487,txt_source,
131,K-1,schedule_rows,1,0,1,1.0,0.5,0.6666666666666666,0,2,1,Hari apa saja Bu Utami  menghadiri sidang skripsi,2025-05-27T20:14:35.347822,2.83,4273,220,4493,txt_source,
132,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Siapa saja mahasiswa yang sidang dengan Pak Ikbal,2025-05-27T20:14:46.548070,4.491,4269,542,4811,txt_source,
133,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Umar,2025-05-27T20:14:52.351699,1.984,4265,227,4492,txt_source,
134,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa saja dosen yang sidang bersama Pak Hidayat,2025-05-27T20:14:59.717656,2.772,4013,61,4074,txt_source,
135,K-1,schedule_rows,4,0,1,1.0,0.8,0.888888888888889,0,5,4,Sebutkan mahasiswa yang diuji oleh Bu Tati,2025-05-27T20:15:14.713875,5.392,4270,746,5016,txt_source,
136,K-1,schedule_rows,2,0,1,1.0,0.6666666666666666,0.8,0,3,2,Sebutkan NIM mahasiswa yang diuji oleh Pak Dedeng,2025-05-27T20:15:26.194849,3.831,4271,418,4689,txt_source,
137,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tampilkan jadwal sidang dari mahasiswa Ahmad Haris,2025-05-27T20:15:33.813938,2.922,4268,220,4488,txt_source,
